Rank,Movie Name,Release Year,Rating,Genre,Director,Stars,Votes,Gross,Length of Movie
84.,Scarface,(1983),8.3,"
Crime, Drama            ",Brian De Palma,"Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio","622,951","622,951",170 min
85.,Toy Story,(1995),8.3,"
Animation, Adventure, Comedy            ",John Lasseter,"John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney","735,694","735,694",81 min
86.,Star Wars: Episode VI - Return of the Jedi,(1983),8.3,"
Action, Adventure, Fantasy            ",Richard Marquand,"Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams","810,392","810,392",131 min
87.,Full Metal Jacket,(1987),8.3,"
Drama, War            ",Stanley Kubrick,"Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin","569,661","569,661",116 min
88.,A Clockwork Orange,(1971),8.3,"
Crime, Drama, Sci-Fi            ",Stanley Kubrick,"Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke","647,231","647,231",136 min
89.,Batman Begins,(2005),8.3,"
Action, Adventure            ",Christopher Nolan,"Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson","1,125,141","1,125,141",140 min
90.,Requiem for a Dream,(2000),8.3,"
Drama            ",Darren Aronofsky,"Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans","661,994","661,994",102 min
91.,Good Will Hunting,(1997),8.3,"
Drama            ",Gus Van Sant,"Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård","715,379","715,379",126 min
92.,Eternal Sunshine of the Spotless Mind,(2004),8.3,"
Drama, Romance, Sci-Fi            ",Michel Gondry,"Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne","773,534","773,534",108 min
93.,L.A. Confidential,(1997),8.3,"
Crime, Drama, Mystery            ",Curtis Hanson,"Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger","469,108","469,108",138 min
94.,Snatch,(2000),8.3,"
Comedy, Crime            ",Guy Ritchie,"Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina","683,078","683,078",104 min
95.,Indiana Jones and the Last Crusade,(1989),8.3,"
Action, Adventure, Fantasy            ",Adolf Hitler,"Adolf Hitler,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott","595,891","595,891",127 min
96.,Reservoir Dogs,(1992),8.3,"
Crime, Drama, Thriller            ",Quentin Tarantino,"Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn","773,930","773,930",99 min
97.,Up,(2009),8.3,"
Animation, Adventure, Comedy            ",Pete Docter,"Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,Christopher Plummer","786,531","786,531",96 min
98.,Monty Python and the Holy Grail,(1975),8.3,"
Adventure, Comedy, Fantasy            ",Terry Gilliam,"Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,Terry Gilliam","435,361","435,361",91 min
99.,Lawrence of Arabia,(1962),8.3,"
Adventure, Biography, Drama            ",T.E. Lawrence,"T.E. Lawrence,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins","226,975","226,975",216 min
100.,Amadeus,(1984),8.3,"
Biography, Drama, History            ",Milos Forman,"Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice","316,625","316,625",160 min
101.,Amélie,(2001),8.3,"
Comedy, Romance            ",Jean-Pierre Jeunet,"Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta","616,452","616,452",122 min
102.,Jagten,(2012),8.3,"
Drama            ",Thomas Vinterberg,"Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm","220,000","220,000",115 min
103.,Vertigo,(1958),8.3,"
Mystery, Romance, Thriller            ",Alfred Hitchcock,"Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore","298,258","298,258",128 min
104.,To Kill a Mockingbird,(1962),8.3,"
Crime, Drama            ",Robert Mulligan,"Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy","255,218","255,218",129 min
105.,Singin' in the Rain,(1952),8.3,"
Comedy, Musical, Romance            ",Stanley Donen,"Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds,Jean Hagen","182,778","182,778",103 min
106.,Some Like It Hot,(1959),8.3,"
Comedy, Romance            ",Billy Wilder,"Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft","206,331","206,331",121 min
107.,Metropolis,(1927),8.3,"
Drama, Sci-Fi            ",Fritz Lang,"Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge","133,814","133,814",153 min
108.,Per qualche dollaro in più,(1965),8.3,"
Western            ",Sergio Leone,"Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mario Brega","190,228","190,228",132 min
109.,North by Northwest,(1959),8.3,"
Adventure, Mystery, Thriller            ",Alfred Hitchcock,"Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis","255,893","255,893",136 min
110.,The Sting,(1973),8.3,"
Comedy, Crime, Drama            ",George Roy Hill,"George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning","206,145","206,145",129 min
111.,Jodaeiye Nader az Simin,(2011),8.3,"
Drama, Mystery            ",Asghar Farhadi,"Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini","182,304","182,304",123 min
112.,The Apartment,(1960),8.3,"
Comedy, Drama, Romance            ",Billy Wilder,"Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston","132,933","132,933",125 min
113.,All About Eve,(1950),8.3,"
Drama            ",Joseph L. Mankiewicz,"Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm","100,486","100,486",138 min
114.,Rashômon,(1950),8.3,"
Crime, Drama, Mystery            ",Akira Kurosawa,"Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura","124,368","124,368",88 min
